1 1 1 1 
4 3 5 4 
1 1 10 4 
50 1 50 33.67
3.5 46 21.3 23.6
5 12 23 13.33
49.99 1.62 1.52 17.71
16.8 35 9.12 20.3
50 50 50 50
2 2 2 2
1 2 1 1.3
45.5 45.5 45.6 45.53
12.45 29.78 32.14 24.79
27.36 10.22 11.11 16.23
26 45 35.49 35.50
17.27 18.92 16.33 17.51
14 12 10 12
16.9 16.9 16.9 16.9
22.34 22.36 22.35 22.35
32.15 31.25 33.05 32.15
9 4 9 7.33
30 24 50 34.67
22.09 47.03 13.04 27.39
13.58 18.46 44.62 25.55
17 15 16 16
23 12 36 23.67
45.12 48.35 41.36 44.94
23.02 24.02 25.02 24.02
14.15 15.27 16.39 15.27
35.12 29.87 34.39 33.13 
1.95 2.50 3.28 2.58
2.98 3.81 14.99 7.26 
4 9 50 21
46.33 11.62 12 23.32
13.5 36.58 37.31 29.13
20 24.33 21.21 21.85 
35 42 50 42.33
1.56 1.23 50 17.6 
22 33 44 33
20.12 20.24 20.36 20.24
17.23 41.33 26.45 28.34
45.22 36.14 27 36.12
17 8 35.79 20.26
21.03 16.01 12.07 16.37
34 24 14 24
40 12 16 22.67
34 21.15 1 18.72
1.09 33.24 49.64 27.99
30 1 50 27
32.54 12.56 44.91 30
