1 1 1 1 1
4 3 5 4 4
1 1 10 4 1
50 1 50 33.67 50
3.5 46 21.3 23.6 21.3
5 12 23 13.33 12
49.99 1.62 1.52 17.71 1.62
16.8 35 9.12 20.3 16.8
50 50 50 50 50
2 2 2 2 2
1 2 1 1.3 1
45.5 45.5 45.6 45.53 45.5
12.45 29.78 32.14 24.79 29.78
27.36 10.22 11.11 16.23 11.11
26 45 35.49 35.50 35.49
17.27 18.92 16.33 17.51 17.27
14 12 10 12 12
16.9 16.9 16.9 16.9 16.9
22.34 22.36 22.35 22.35 22.35
32.15 31.25 33.05 32.15 32.15
9 4 9 7.33 4
30 24 50 34.67 30
22.09 47.03 13.04 27.39 22.09
13.58 18.46 44.62 25.55 18.46
17 15 16 16 16
23 12 36 23.67 23
45.12 48.35 41.36 44.94 45.12
23.02 24.02 25.02 24.02 24.02
14.15 15.27 16.39 15.27 15.27
35.12 29.87 34.39 33.13 34.39 
1.95 2.50 3.28 2.58 2.5
2.98 3.81 14.99 7.26 3.81 
4 9 50 21 9
46.33 11.62 12 23.32 12
13.5 36.58 37.31 29.13 36.58
20 24.33 21.21 21.85 21.21 
35 42 50 42.33 42
1.56 1.23 50 17.6 1.56 
22 33 44 33 33
20.12 20.24 20.36 20.24 20.24
17.23 41.33 26.45 28.34 26.45
45.22 36.14 27 36.12 36.14
17 8 35.79 20.26 17
21.03 16.01 12.07 16.37 16.01
34 24 14 24 24
40 12 16 22.67 16
34 21.15 1 18.72 21.15
1.09 33.24 49.64 27.99 33.24
30 1 50 27 30
32.54 12.56 44.91 30 32.54
